Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Current range;Overload
4;5084;47.7130478795361;0.41021728515625;0.24615478515625;1 A;
4;5085;47.7211778795156;0.412689208984375;0.244781494140625;1 A;
4;5086;47.7293078794951;0.4151611328125;0.242828369140625;1 A;
4;5087;47.7374378794746;0.417510986328125;0.241485595703125;1 A;
4;5088;47.745567879454;0.420013427734375;0.23956298828125;1 A;
4;5089;47.7536978794335;0.422393798828125;0.238250732421875;1 A;
4;5090;47.761827879413;0.42486572265625;0.236297607421875;1 A;
4;5091;47.7699578793925;0.427337646484375;0.23504638671875;1 A;
4;5092;47.7780878793719;0.42974853515625;0.233123779296875;1 A;
4;5093;47.7862178793514;0.43218994140625;0.231719970703125;1 A;
4;5094;47.7943478793309;0.434600830078125;0.229888916015625;1 A;
4;5095;47.8024778793103;0.43701171875;0.22845458984375;1 A;
4;5096;47.8106078792898;0.43951416015625;0.22674560546875;1 A;
4;5097;47.8187378792693;0.441864013671875;0.225189208984375;1 A;
4;5098;47.8268678792488;0.444366455078125;0.2235107421875;1 A;
4;5099;47.8349978792282;0.44677734375;0.22186279296875;1 A;
4;5100;47.8431278792077;0.44927978515625;0.220245361328125;1 A;
4;5101;47.8512578791872;0.451690673828125;0.218597412109375;1 A;
4;5102;47.8593878791667;0.45416259765625;0.21710205078125;1 A;
4;5103;47.8675178791461;0.45654296875;0.21539306640625;1 A;
4;5104;47.8756478791256;0.458953857421875;0.21405029296875;1 A;
4;5105;47.8837778791051;0.46142578125;0.212432861328125;1 A;
4;5106;47.8919078790846;0.463897705078125;0.2110595703125;1 A;
4;5107;47.900037879064;0.46630859375;0.20947265625;1 A;
4;5108;47.9081678790435;0.46868896484375;0.20831298828125;1 A;
4;5109;47.916297879023;0.47119140625;0.206756591796875;1 A;
4;5110;47.9244278790025;0.4736328125;0.20550537109375;1 A;
4;5111;47.9325578789819;0.47601318359375;0.204071044921875;1 A;
4;5112;47.9406878789614;0.478515625;0.202728271484375;1 A;
4;5113;47.9488178789409;0.48095703125;0.20135498046875;1 A;
4;5114;47.9569478789203;0.4833984375;0.200042724609375;1 A;
4;5115;47.9650778788998;0.48583984375;0.198699951171875;1 A;
4;5116;47.9732078788793;0.48828125;0.197418212890625;1 A;
4;5117;47.9813378788588;0.490692138671875;0.19610595703125;1 A;
4;5118;47.9894678788382;0.493133544921875;0.194915771484375;1 A;
4;5119;47.9975978788177;0.49554443359375;0.19354248046875;1 A;
4;5120;48.0057278787972;0.498046875;0.192413330078125;1 A;
4;5121;48.0138578787767;0.50042724609375;0.191070556640625;1 A;
4;5122;48.0219878787561;0.502960205078125;0.189971923828125;1 A;
4;5123;48.0301178787356;0.50531005859375;0.188720703125;1 A;
4;5124;48.0382478787151;0.50775146484375;0.187652587890625;1 A;
4;5125;48.0463778786946;0.510284423828125;0.186431884765625;1 A;
4;5126;48.054507878674;0.512664794921875;0.185455322265625;1 A;
4;5127;48.0626378786535;0.51513671875;0.184326171875;1 A;
4;5128;48.070767878633;0.517578125;0.18341064453125;1 A;
4;5129;48.0788978786125;0.51995849609375;0.182281494140625;1 A;
4;5130;48.0870278785919;0.52239990234375;0.181396484375;1 A;
4;5131;48.0951578785714;0.52484130859375;0.18023681640625;1 A;
4;5132;48.1032878785509;0.52728271484375;0.17938232421875;1 A;
4;5133;48.1114178785303;0.529693603515625;0.17828369140625;1 A;
4;5134;48.1195478785098;0.532135009765625;0.17742919921875;1 A;
4;5135;48.1276778784893;0.534637451171875;0.176361083984375;1 A;
4;5136;48.1358078784688;0.537078857421875;0.175445556640625;1 A;
4;5137;48.1439378784482;0.539520263671875;0.1744384765625;1 A;
4;5138;48.1520678784277;0.54193115234375;0.17352294921875;1 A;
4;5139;48.1601978784072;0.544403076171875;0.172637939453125;1 A;
4;5140;48.1683278783867;0.5467529296875;0.171783447265625;1 A;
4;5141;48.1764578783661;0.549224853515625;0.1708984375;1 A;
4;5142;48.1845878783456;0.55169677734375;0.170074462890625;1 A;
4;5143;48.1927178783251;0.554107666015625;0.169281005859375;1 A;
4;5144;48.2008478783046;0.556549072265625;0.16845703125;1 A;
4;5145;48.208977878284;0.55902099609375;0.167755126953125;1 A;
4;5146;48.2171078782635;0.561370849609375;0.16693115234375;1 A;
4;5147;48.225237878243;0.5638427734375;0.166290283203125;1 A;
4;5148;48.2333678782225;0.5662841796875;0.16546630859375;1 A;
4;5149;48.2414978782019;0.568756103515625;0.16485595703125;1 A;
4;5150;48.2496278781814;0.57122802734375;0.164031982421875;1 A;
4;5151;48.2577578781609;0.573638916015625;0.163421630859375;1 A;
4;5152;48.2658878781403;0.576080322265625;0.16265869140625;1 A;
4;5153;48.2740178781198;0.578460693359375;0.1619873046875;1 A;
4;5154;48.2821478780993;0.580902099609375;0.1612548828125;1 A;
4;5155;48.2902778780788;0.583404541015625;0.160614013671875;1 A;
4;5156;48.2984078780582;0.5858154296875;0.159881591796875;1 A;
4;5157;48.3065378780377;0.588226318359375;0.159271240234375;1 A;
