Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Baseline corrected WE(1).Current (A);Current range;Overload
1;1607;11.6705509705347;-0.072479248046875;0.00792236328125;;1 A;
1;1608;11.6740409705259;-0.070037841796875;0.0080902099609375;;1 A;
1;1609;11.6775309705171;-0.067626953125;0.00835571289062501;;1 A;
1;1610;11.6810209705083;-0.06512451171875;0.0086181640625;;1 A;
1;1611;11.6845109704994;-0.062774658203125;0.0087860107421875;;1 A;
1;1612;11.6880009704906;-0.060211181640625;0.00903930664062499;;1 A;
1;1613;11.6914909704818;-0.057830810546875;0.0093109130859375;;1 A;
1;1614;11.694980970473;-0.05535888671875;0.0095367431640625;;1 A;
1;1615;11.6984709704642;-0.052886962890625;0.0097930908203125;;1 A;
1;1616;11.7019609704554;-0.050537109375;0.0100860595703125;;1 A;
1;1617;11.7054509704466;-0.0479736328125;0.0103424072265625;;1 A;
1;1618;11.7089409704378;-0.0455078125;0.010662841796875;;1 A;
1;1619;11.712430970429;-0.0430816650390625;0.0110870361328125;;1 A;
1;1620;11.7159209704201;-0.040643310546875;0.0113922119140625;;1 A;
1;1621;11.7194109704113;-0.0382049560546875;0.0117919921875;;1 A;
1;1622;11.7229009704025;-0.0357513427734375;0.0121551513671875;;1 A;
1;1623;11.7263909703937;-0.033319091796875;0.0125152587890625;;1 A;
1;1624;11.7298809703849;-0.0308624267578125;0.0128387451171875;;1 A;
1;1625;11.7333709703761;-0.0284210205078125;0.0132843017578125;;1 A;
1;1626;11.7368609703673;-0.0259979248046875;0.0137298583984375;;1 A;
1;1627;11.7403509703585;-0.0235382080078125;0.0142333984375;;1 A;
1;1628;11.7438409703497;-0.0211029052734375;0.0146759033203125;;1 A;
1;1629;11.7473309703408;-0.0186553955078125;0.015142822265625;;1 A;
1;1630;11.750820970332;-0.0162261962890625;0.0155792236328125;;1 A;
1;1631;11.7543109703232;-0.01378173828125;0.0161163330078125;;1 A;
1;1632;11.7578009703144;-0.0113555908203125;0.0166259765625;;1 A;
1;1633;11.7612909703056;-0.008892822265625;0.01708984375;;1 A;
1;1634;11.7647809702968;-0.00644836425781251;0.0175811767578125;;1 A;
1;1635;11.768270970288;-0.00402221679687501;0.01812744140625;;1 A;
1;1636;11.7717609702792;-0.00157470703125;0.0188446044921875;;1 A;
1;1637;11.7752509702703;0.000891113281249994;0.0193695068359375;;1 A;
2;1638;11.7787409702615;0.0033233642578125;0.020037841796875;;1 A;
2;1639;11.7822309702527;0.00577697753906251;0.020465087890625;;1 A;
2;1640;11.7857209702439;0.008197021484375;0.021112060546875;;1 A;
2;1641;11.7892109702351;0.010638427734375;0.021929931640625;;1 A;
2;1642;11.7927009702263;0.0130889892578125;0.02257080078125;;1 A;
2;1643;11.7961909702175;0.015557861328125;0.02327880859375;;1 A;
2;1644;11.7996809702087;0.01796875;0.0240509033203125;;1 A;
2;1645;11.8031709701999;0.0204132080078125;0.0248382568359375;;1 A;
2;1646;11.806660970191;0.022857666015625;0.0255462646484375;;1 A;
2;1647;11.8101509701822;0.0252960205078125;0.0264007568359375;;1 A;
2;1648;11.8136409701734;0.027734375;0.02716064453125;;1 A;
2;1649;11.8171309701646;0.0301666259765625;0.02803955078125;;1 A;
2;1650;11.8206209701558;0.032635498046875;0.02884521484375;;1 A;
2;1651;11.824110970147;0.0350677490234375;0.0298126220703125;;1 A;
2;1652;11.8276009701382;0.0375030517578125;0.0309051513671875;;1 A;
2;1653;11.8310909701294;0.0399383544921875;0.031732177734375;;1 A;
2;1654;11.8345809701206;0.0424102783203125;0.0327117919921875;;1 A;
2;1655;11.8380709701117;0.0448211669921875;0.0338043212890625;;1 A;
2;1656;11.8415609701029;0.0472808837890625;0.0348114013671875;;1 A;
2;1657;11.8450509700941;0.04970703125;0.0359466552734375;;1 A;
2;1658;11.8485409700853;0.052032470703125;0.0369049072265625;;1 A;
2;1659;11.8520309700765;0.054534912109375;0.0379791259765625;;1 A;
2;1660;11.8555209700677;0.056976318359375;0.0393402099609375;;1 A;
2;1661;11.8590109700589;0.059417724609375;0.040362548828125;;1 A;
2;1662;11.8625009700501;0.0618896484375;0.0416778564453125;;1 A;
2;1663;11.8659909700413;0.0643310546875;0.042950439453125;;1 A;
2;1664;11.8694809700324;0.06671142578125;0.04403076171875;;1 A;
2;1665;11.8729709700236;0.0692138671875;0.0454986572265625;;1 A;
2;1666;11.8764609700148;0.071624755859375;0.0469512939453125;;1 A;
