Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Baseline corrected WE(1).Current (A);Current range
1;306;9.88132097505206;0.74700927734375;0.113037109375;;1 A
1;307;9.89352097502126;0.749542236328125;0.11328125;;1 A
1;308;9.90572097499046;0.75225830078125;0.113494873046875;;1 A
1;309;9.91792097495966;0.75469970703125;0.11376953125;;1 A
1;310;9.93012097492885;0.7568359375;0.114044189453125;;1 A
1;311;9.94232097489805;0.75927734375;0.114288330078125;;1 A
1;312;9.95452097486725;0.76202392578125;0.1146240234375;;1 A
1;313;9.96672097483645;0.76446533203125;0.11492919921875;;1 A
1;314;9.97892097480565;0.7672119140625;0.115264892578125;;1 A
1;315;9.99112097477484;0.76904296875;0.115631103515625;;1 A
1;316;10.003320974744;0.7720947265625;0.116058349609375;;1 A
1;317;10.0155209747132;0.77362060546875;0.116424560546875;;1 A
1;318;10.0277209746824;0.77667236328125;0.116851806640625;;1 A
1;319;10.0399209746516;0.7794189453125;0.117279052734375;;1 A
1;320;10.0521209746208;0.78155517578125;0.11773681640625;;1 A
1;321;10.06432097459;0.78338623046875;0.11822509765625;;1 A
1;322;10.0765209745592;0.7861328125;0.11871337890625;;1 A
1;323;10.0887209745284;0.78857421875;0.1192626953125;;1 A
1;324;10.1009209744976;0.791015625;0.119781494140625;;1 A
1;325;10.1131209744668;0.79345703125;0.120361328125;;1 A
1;326;10.125320974436;0.79559326171875;0.120941162109375;;1 A
1;327;10.1375209744052;0.79864501953125;0.121002197265625;;1 A
1;328;10.1497209743744;0.7958984375;0.1197509765625;;1 A
1;329;10.1619209743436;0.79376220703125;0.11865234375;;1 A
1;330;10.1741209743128;0.791015625;0.117523193359375;;1 A
1;331;10.186320974282;0.78857421875;0.116485595703125;;1 A
1;332;10.1985209742512;0.7861328125;0.115447998046875;;1 A
1;333;10.2107209742204;0.78399658203125;0.114410400390625;;1 A
1;334;10.2229209741896;0.78155517578125;0.11334228515625;;1 A
1;335;10.2351209741588;0.77911376953125;0.11236572265625;;1 A
1;336;10.247320974128;0.7769775390625;0.111419677734375;;1 A
1;337;10.2595209740972;0.77423095703125;0.1104736328125;;1 A
1;338;10.2717209740664;0.7720947265625;0.109527587890625;;1 A
1;339;10.2839209740356;0.76934814453125;0.108642578125;;1 A
1;340;10.2961209740048;0.7672119140625;0.107757568359375;;1 A
1;341;10.308320973974;0.76385498046875;0.106903076171875;;1 A
1;342;10.3205209739432;0.76202392578125;0.106048583984375;;1 A
1;343;10.3327209739124;0.75927734375;0.105224609375;;1 A
1;344;10.3449209738816;0.75714111328125;0.104400634765625;;1 A
1;345;10.3571209738508;0.7550048828125;0.103607177734375;;1 A
1;346;10.36932097382;0.75225830078125;0.102752685546875;;1 A
1;347;10.3815209737892;0.74951171875;0.101959228515625;;1 A
1;348;10.3937209737584;0.7470703125;0.101226806640625;;1 A
1;349;10.4059209737276;0.74468994140625;0.100433349609375;;1 A
1;350;10.4181209736968;0.7421875;0.099700927734375;;1 A
1;351;10.430320973666;0.739776611328125;0.098968505859375;;1 A
1;352;10.4425209736352;0.737335205078125;0.098236083984375;;1 A
1;353;10.4547209736044;0.734893798828125;0.097503662109375;;1 A
1;354;10.4669209735736;0.732513427734375;0.096771240234375;;1 A
1;355;10.4791209735428;0.730072021484375;0.0960693359375;;1 A
1;356;10.491320973512;0.727630615234375;0.095367431640625;;1 A
1;357;10.5035209734812;0.725189208984375;0.0947265625;;1 A
1;358;10.5157209734504;0.72271728515625;0.094024658203125;;1 A
1;359;10.5279209734196;0.72027587890625;0.0933837890625;;1 A
1;360;10.5401209733888;0.7177734375;0.092742919921875;;1 A
1;361;10.552320973358;0.715362548828125;0.092071533203125;;1 A
1;362;10.5645209733271;0.712921142578125;0.091461181640625;;1 A
1;363;10.5767209732963;0.71051025390625;0.0908203125;;1 A
1;364;10.5889209732655;0.708038330078125;0.0902099609375;;1 A
1;365;10.6011209732347;0.70562744140625;0.089599609375;;1 A
1;366;10.6133209732039;0.703155517578125;0.089019775390625;;1 A
1;367;10.6255209731731;0.700714111328125;0.08843994140625;;1 A
1;368;10.6377209731423;0.698333740234375;0.087799072265625;;1 A
1;369;10.6499209731115;0.695892333984375;0.087249755859375;;1 A
1;370;10.6621209730807;0.69342041015625;0.086669921875;;1 A
1;371;10.6743209730499;0.69097900390625;0.08612060546875;;1 A
1;372;10.6865209730191;0.68853759765625;0.085540771484375;;1 A
1;373;10.6987209729883;0.68609619140625;0.08502197265625;;1 A
1;374;10.7109209729575;0.683685302734375;0.084442138671875;;1 A
1;375;10.7231209729267;0.68121337890625;0.08392333984375;;1 A
1;376;10.7353209728959;0.67877197265625;0.083404541015625;;1 A
1;377;10.7475209728651;0.6763916015625;0.0828857421875;;1 A
1;378;10.7597209728343;0.673858642578125;0.082366943359375;;1 A
1;379;10.7719209728035;0.67144775390625;0.08184814453125;;1 A
1;380;10.7841209727727;0.6690673828125;0.081329345703125;;1 A
1;381;10.7963209727419;0.6666259765625;0.080810546875;;1 A
1;382;10.8085209727111;0.664154052734375;0.080322265625;;1 A
1;383;10.8207209726803;0.661712646484375;0.079833984375;;1 A
1;384;10.8329209726495;0.659271240234375;0.079345703125;;1 A
1;385;10.8451209726187;0.656829833984375;0.078857421875;;1 A
1;386;10.8573209725879;0.65435791015625;0.07843017578125;;1 A
1;387;10.8695209725571;0.651947021484375;0.077972412109375;;1 A
1;388;10.8817209725263;0.649444580078125;0.077484130859375;;1 A
1;389;10.8939209724955;0.647064208984375;0.0770263671875;;1 A
1;390;10.9061209724647;0.644683837890625;0.076568603515625;;1 A
1;391;10.9183209724339;0.642181396484375;0.07611083984375;;1 A
1;392;10.9305209724031;0.6397705078125;0.075653076171875;;1 A
1;393;10.9427209723723;0.6373291015625;0.0751953125;;1 A
1;394;10.9549209723415;0.634857177734375;0.074798583984375;;1 A
1;395;10.9671209723107;0.632415771484375;0.074310302734375;;1 A
1;396;10.9793209722799;0.629974365234375;0.073822021484375;;1 A
1;397;10.9915209722491;0.627532958984375;0.073455810546875;;1 A
1;398;11.0037209722183;0.625091552734375;0.073028564453125;;1 A
1;399;11.0159209721875;0.62261962890625;0.072601318359375;;1 A
1;400;11.0281209721567;0.6202392578125;0.072174072265625;;1 A
1;401;11.0403209721259;0.6177978515625;0.07177734375;;1 A
1;402;11.0525209720951;0.615386962890625;0.07135009765625;;1 A
1;403;11.0647209720643;0.612945556640625;0.070892333984375;;1 A
1;404;11.0769209720335;0.6104736328125;0.07049560546875;;1 A
1;405;11.0891209720027;0.608062744140625;0.070098876953125;;1 A
1;406;11.1013209719719;0.60565185546875;0.069671630859375;;1 A
1;407;11.1135209719411;0.603179931640625;0.06927490234375;;1 A
1;408;11.1257209719103;0.600799560546875;0.068878173828125;;1 A
1;409;11.1379209718795;0.59832763671875;0.068450927734375;;1 A
1;410;11.1501209718487;0.595855712890625;0.068023681640625;;1 A
1;411;11.1623209718178;0.593475341796875;0.067596435546875;;1 A
1;412;11.174520971787;0.59100341796875;0.067230224609375;;1 A
1;413;11.1867209717562;0.588531494140625;0.066802978515625;;1 A
1;414;11.1989209717254;0.586090087890625;0.06640625;;1 A
1;415;11.2111209716946;0.58367919921875;0.06597900390625;;1 A
1;416;11.2233209716638;0.5811767578125;0.0655517578125;;1 A
1;417;11.235520971633;0.57879638671875;0.065155029296875;;1 A
