,Potential applied / V,Time / s,WE(1).Current / A,WE(1).Potential / V,Scan,Index,e / (A/s1/2),BaseLine / (A s-1/2),Fcurve / (A/s1/2),Ecurve / (A/s1/2),Dcurve / (A/s1/2),e Reconstructed / (A/s1/2)
56,-0.66009521484375,236.267178403483,-0.0025787353515625,-0.65899658203125,3,10792,-0.000303493,-0.00048772258649870323,-27.679251612629646,-4.592716810426067e-05,-7.74046362154162e-09,-27.679785270124714
57,-0.661163330078125,236.288540403429,-0.00252380371093749,-0.6600341796875,3,10793,-0.000364472,-0.0004950342375583316,-26.306126950003677,-4.7473817467758915e-05,-8.00738374944306e-09,-26.306669466066086
58,-0.6622314453125,236.309902403375,-0.0025604248046875,-0.661102294921875,3,10794,-0.000762322,-0.0005025609330334135,-24.96373523257519,-4.912025239437432e-05,-8.291771988736383e-09,-24.964286922052388
59,-0.663299560546875,236.331264403321,-0.0025970458984375,-0.662139892578125,3,10795,-0.00076936,-0.000509872584093041,-23.72532311801234,-5.077417393359362e-05,-8.577703276907594e-09,-23.72588377334807
60,-0.66436767578125,236.352626403267,-0.00260009765624999,-0.6632080078125,3,10796,-0.00064244,-0.0005173992795681238,-22.514628844869517,-5.253478341027375e-05,-8.88234682692591e-09,-22.515198787814843
61,-0.665435791015625,236.373988403213,-0.002593994140625,-0.664215087890625,3,10797,-0.000614203,-0.0005244958791655874,-21.429759312128144,-5.425052315841884e-05,-9.179485477727348e-09,-21.430338067709954
62,-0.66650390625,236.395350403159,-0.0025909423828125,-0.66534423828125,3,10798,-0.000444578,-0.0005324526705182877,-20.27543143740527,-5.624077460429667e-05,-9.524477099449465e-09,-20.27602014037487
63,-0.667572021484375,236.416712403105,-0.00255126953125,-0.666412353515625,3,10799,-0.000341771,-0.0005399793730400783,-19.240782889523246,-5.819041931024178e-05,-9.862746324744518e-09,-19.241381069178342
64,-0.66864013671875,236.438074403051,-0.00255126953125,-0.66748046875,3,10800,-0.000637555,-0.0005475060685151611,-18.25893300957599,-6.0207455664288455e-05,-1.0213029101194951e-08,-18.259540733313198
65,-0.669708251953125,236.459436402997,-0.002593994140625,-0.668548583984375,3,10801,-0.00076706,-0.0005550327639902422,-17.327186557970993,-6.229420143346386e-05,-1.0575752420174831e-08,-17.327803895512172
66,-0.6707763671875,236.480798402943,-0.00260009765624999,-0.66961669921875,3,10802,-0.000659455,-0.000562559459465325,-16.442986775693367,-6.44530512161431e-05,-1.095135811562699e-08,-16.443613799155404
67,-0.671844482421875,236.502160402889,-0.00260009765624999,-0.670684814453125,3,10803,-0.000655764,-0.0005700861549404078,-15.603907374174845,-6.668648083764237e-05,-1.134030371345596e-08,-15.604544158150926
68,-0.67291259765625,236.523522402836,-0.00260314941406251,-0.671783447265625,3,10804,-0.000551413,-0.0005778279018776528,-14.785502415003691,-6.906422679961177e-05,-1.1754778370873224e-08,-14.786149318887148
69,-0.673980712890625,236.544884402782,-0.0025787353515625,-0.6728515625,3,10805,-0.000439525,-0.0005853546043994443,-14.031003126018527,-7.145690365636685e-05,-1.2172258403068115e-08,-14.031659949698842
70,-0.675048828125,236.566246402728,-0.00256958007812499,-0.67388916015625,3,10806,-0.000514158,-0.0005926662484123622,-13.33494751716255,-7.386028466146123e-05,-1.2592002813742882e-08,-13.335614056287627
