Figure 4 Data,,,,,,
Exp 1,,Exp 3,,Exp 6 (10/11),,
300 mV/s,,300 mV/s,,300 mV/s,,
Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),
-0.374437,-2.765564115,-0.354584,-1.209718834,-0.154926,2.77686858,
-0.375444,-2.813536479,-0.355621,-1.240566232,-0.156024,2.711987559,
-0.376604,-2.813536479,-0.356659,-1.271402401,-0.157062,2.491394639,
-0.377703,-2.768989108,-0.357697,-1.220005044,-0.15813,2.270805971,
-0.37871,-2.834097668,-0.358765,-1.243991226,-0.159229,2.102117017,
-0.379747,-2.861520072,-0.359833,-1.285113603,-0.160236,2.024258942,
-0.380907,-2.816961472,-0.360962,-1.254266205,-0.161273,1.842597185,
-0.381884,-2.810111486,-0.361969,-1.240566232,-0.162494,1.816643076,
-0.382952,-2.864945066,-0.363068,-1.315961001,-0.16347,1.60902721,
-0.384081,-2.854658856,-0.364136,-1.28168861,-0.164508,1.583073101,
-0.385088,-2.861520072,-0.365173,-1.264552414,-0.165576,1.427361202,
-0.386156,-2.871795052,-0.366211,-1.305674792,-0.166644,1.375457236,
-0.387255,-2.888931248,-0.367279,-1.329660974,-0.167773,1.284626357,
-0.388353,-2.864945066,-0.368378,-1.285113603,-0.168811,1.102960349,
-0.389452,-2.864945066,-0.369446,-1.302249799,-0.16991,1.012129471,
-0.390428,-2.909492436,-0.370514,-1.343372176,-0.170947,1.089987546,
-0.391466,-2.909492436,-0.371582,-1.322810988,-0.172046,0.999152416,
-0.392595,-2.875220045,-0.372589,-1.302249799,-0.173114,0.830467714,
-0.393602,-2.940339834,-0.373688,-1.363933365,-0.174152,0.778559496,
-0.394701,-2.933478618,-0.374786,-1.360508372,-0.17522,0.791536551,
-0.39583,-2.885506254,-0.375793,-1.322810988,-0.176288,0.713682727,
-0.396837,-2.909492436,-0.376892,-1.350222163,-0.177386,0.661778761,
-0.397875,-2.964326016,-0.377991,-1.384494554,-0.178485,0.609874794,
-0.398943,-2.943764827,-0.379059,-1.363933365,-0.179492,0.57094363,
-0.400042,-2.919778645,-0.380096,-1.360508372,-0.18056,0.454162895,
-0.401079,-2.95747603,-0.381134,-1.381069561,-0.181628,0.480112752,
-0.402178,-2.96775101,-0.382233,-1.40163075,-0.182727,0.519039664,
-0.403246,-2.954051037,-0.383301,-1.360508372,-0.183765,0.350352836,
-0.404314,-2.96775101,-0.384338,-1.398205756,-0.184894,0.272496461,
-0.405352,-2.995173414,-0.385468,-1.432466918,-0.185901,0.376304819,
-0.40642,-2.974612225,-0.386566,-1.411905729,-0.186938,0.233568274,
-0.407457,-2.988312198,-0.387573,-1.394780763,-0.188037,0.155712324,
-0.408586,-3.015734603,-0.388672,-1.459889323,-0.189044,0.194640512,
-0.409685,-3.005448394,-0.38974,-1.418766945,-0.190143,0.207616291,
-0.410753,-2.964326016,-0.390778,-1.408480736,-0.191302,0.07785595,
-0.41173,-3.022584589,-0.391785,-1.459889323,-0.19234,0.129760341,
-0.412828,-3.032870799,-0.392944,-1.487300498,-0.193378,0.090832154,
-0.413896,-3.005448394,-0.394012,-1.44617812,-0.194446,0.03892806,
-0.414965,-3.032870799,-0.39505,-1.442753127,-0.195575,0.012976034,
-0.416033,-3.063706967,-0.396118,-1.487300498,-0.196613,-0.012976034,
-0.417101,-3.036295792,-0.397217,-1.497586707,-0.19762,-0.025952068,
-0.418199,-3.022584589,-0.398254,-1.442753127,-0.198718,-0.103808358,
-0.419237,-3.073993176,-0.399292,-1.497586707,-0.199878,-0.129760341,
-0.420305,-3.094554365,-0.400391,-1.487300498,-0.200885,-0.051903966,
-0.421404,-3.053431987,-0.401459,-1.497586707,-0.201984,-0.116784137,
-0.422441,-3.06713196,-0.402466,-1.504436694,-0.203021,-0.181664308,
-0.42354,-3.097979358,-0.403564,-1.548984064,-0.203998,-0.116784137,
-0.424578,-3.087693149,-0.404572,-1.507861687,-0.205127,-0.168688529,
-0.425615,-3.06713196,-0.40567,-1.518147896,-0.206226,-0.220592495,
-0.426683,-3.097979358,-0.406738,-1.559270274,-0.207263,-0.207616291,
-0.427751,-3.091129372,-0.407837,-1.562695267,-0.208331,-0.194640512,
-0.428881,-3.063706967,-0.408875,-1.535284091,-0.20943,-0.337376632,
-0.429827,-3.101404351,-0.409973,-1.559270274,-0.210498,-0.246544478,
-0.430925,-3.111690561,-0.411041,-1.576406469,-0.211536,-0.233568274,
