"Figure 2 data (WE Area: 1.04 cm^2, scan rate: 0.3 V/s)",
Potential (V),Current Density (mA/cm^3)
-0.734802,-4.53283763
-0.735901,-4.559339808
-0.736938,-4.60057936
-0.738007,-4.591738866
-0.739105,-4.597626094
-0.740173,-4.650649754
-0.741241,-4.665367824
-0.74234,-4.632978418
-0.743408,-4.674208318
-0.744476,-4.703663762
-0.745514,-4.703663762
-0.746613,-4.706607376
-0.747681,-4.75667777
-0.74881,-4.774349106
-0.749786,-4.809691778
-0.751038,-4.792020442
-0.752258,-4.850931329
-0.752869,-4.815579006
-0.754395,-4.821475886
-0.75531,-4.901001723
-0.756226,-4.89216123
-0.757446,-4.886274001
-0.758057,-4.909832566
-0.758972,-4.951062466
-0.760193,-4.948118852
-0.761414,-4.962846574
-0.762634,-5.015860582
-0.763855,-5.012916968
-0.76416,-5.018813847
-0.765381,-5.077715083
-0.766907,-5.101273648
-0.768127,-5.098330033
-0.769043,-5.121898249
-0.770264,-5.183743099
-0.770874,-5.163128149
-0.77179,-5.183743099
-0.77301,-5.254438095
-0.774231,-5.275053045
-0.775757,-5.242653987
-0.776367,-5.310395717
-0.776978,-5.342794775
-0.778198,-5.360466111
-0.779419,-5.351625617
-0.78064,-5.419367347
-0.782166,-5.428207841
-0.782776,-5.437038683
-0.784302,-5.472391006
-0.784607,-5.540132736
-0.786133,-5.507733678
-0.786743,-5.528348628
-0.787964,-5.596090358
-0.789185,-5.587249865
-0.789795,-5.557804072
-0.791321,-5.634376645
-0.792542,-5.65794486
-0.793457,-5.634376645
-0.794373,-5.666775702
-0.795593,-5.71978971
-0.796204,-5.734517432
-0.798035,-5.737461046
-0.798645,-5.758085648
-0.799866,-5.78753144
-0.801392,-5.799315548
-0.801697,-5.849385942
-0.802917,-5.887672228
-0.803833,-5.884728614
-0.805359,-5.875897772
-0.806274,-5.94952673
-0.807495,-5.94952673
-0.808411,-5.931855394
-0.809326,-5.981925788
-0.810547,-6.01726846
-0.812073,-6.031996182
-0.813599,-6.058508011
-0.813904,-6.096794297
-0.81543,-6.120352862
-0.815735,-6.102681526
-0.816956,-6.161592413
-0.818176,-6.176320135
-0.819397,-6.182207363
-0.820313,-6.205765928
-0.821228,-6.258789587
-0.822449,-6.226390529
-0.823364,-6.249949093
-0.824585,-6.305906715
-0.825806,-6.317690823
-0.826721,-6.323578051
-0.827942,-6.353033495
-0.829163,-6.397216661
-0.830383,-6.373648445
-0.830994,-6.417831611
-0.831604,-6.470845619
