Figure 13 data,,,,,,,
Voltammogram (top),,Residual gas analyzer data (bottom),,,,,
,,-0.5 V,,-0.8 V,,-0.9 V,
Potential (V),Current (A),Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity
0.304413,0.00465454,43.052,1.93E+00,43.008,2.56E+00,43.169,2.17E+00
0.306854,0.0046637,43.368,2.09E+00,43.324,2.46E+00,43.485,2.07E+00
0.309296,0.00467957,43.684,2.19E+00,43.639,2.34E+00,43.801,1.98E+00
0.311737,0.00467804,43.999,2.34E+00,43.955,2.31E+00,44.116,1.99E+00
0.314178,0.00468964,44.315,2.41E+00,44.271,2.19E+00,44.432,2.09E+00
0.31662,0.00470367,44.63,2.51E+00,44.586,2.34E+00,44.747,2.27E+00
0.319061,0.00471863,44.946,2.50E+00,44.902,2.00E+00,45.063,2.19E+00
0.321503,0.00473175,45.262,2.22E+00,45.217,2.16E+00,45.379,2.36E+00
0.323944,0.0047464,45.577,2.27E+00,45.533,2.04E+00,45.694,2.48E+00
0.326385,0.00476013,45.893,2.13E+00,45.849,2.13E+00,46.01,2.35E+00
0.328827,0.00477875,46.208,2.09E+00,46.164,2.24E+00,46.325,2.47E+00
0.331268,0.00479614,46.524,2.06E+00,46.48,2.53E+00,46.641,2.65E+00
0.33371,0.00481812,46.84,2.18E+00,46.795,2.39E+00,46.957,2.34E+00
0.336151,0.00484131,47.155,2.01E+00,47.111,2.55E+00,47.272,1.98E+00
0.338593,0.00486603,47.471,2.20E+00,47.427,2.32E+00,47.588,1.57E+00
0.341034,0.00489288,47.786,2.27E+00,47.742,2.36E+00,47.903,1.93E+00
0.343475,0.00492401,48.102,2.43E+00,48.058,2.22E+00,48.219,2.09E+00
0.345917,0.00495911,48.418,2.43E+00,48.373,2.11E+00,48.535,2.22E+00
0.348358,0.00498657,48.733,2.40E+00,48.689,2.23E+00,48.85,2.18E+00
0.3508,0.00501404,49.049,2.43E+00,49.005,2.04E+00,49.166,2.22E+00
0.353241,0.00504761,49.364,2.36E+00,49.32,2.45E+00,49.481,2.49E+00
0.355682,0.00508118,49.68,2.19E+00,49.636,2.28E+00,49.797,2.44E+00
0.358124,0.00511475,49.996,2.15E+00,49.951,2.29E+00,50.113,2.42E+00
0.360565,0.00514832,50.311,2.09E+00,50.267,2.47E+00,50.428,2.40E+00
