Figure 3 data,,,,,,,,,,,
Exp 1 (11/17),,,,Exp 3 (12/1),,,,Exp 6 (10/11),,,
300 mV/s,,,,300 mV/s,,,,300 mV/s,,,
WE Potential (V),Adjusted Potential (WE Potential + 0 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2),WE Potential (V),Adjusted Potential (WE Potential - 0.2 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2),WE Potential (V),Adjusted Potential (WE Potential - 0.9 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2)
-0.113953,-0.113953,-0.005462583,-5.462583447,-0.113953,-0.313953,-0.002471111,-2.471110986,-0.113922,-1.013922,-0.015623149,-15.62314916
-0.115021,-0.115021,-0.005452308,-5.452308467,-0.115051,-0.315051,-0.002532965,-2.532965488,-0.115021,-1.015021,-0.015765888,-15.76588826
-0.116058,-0.116058,-0.005431747,-5.431747279,-0.116119,-0.316119,-0.002518238,-2.518237766,-0.11615,-1.01615,-0.015649086,-15.64908626
-0.117126,-0.117126,-0.005483145,-5.483144636,-0.117157,-0.317157,-0.002482895,-2.482895094,-0.117218,-1.017218,-0.015752877,-15.75287719
-0.118256,-0.118256,-0.005421461,-5.42146107,-0.118256,-0.318256,-0.00250351,-2.503510044,-0.118225,-1.018225,-0.015882648,-15.88264773
-0.119263,-0.119263,-0.005404325,-5.404324874,-0.119354,-0.319354,-0.002524135,-2.524134645,-0.119263,-1.019263,-0.016025387,-16.02538683
-0.120361,-0.120361,-0.005442022,-5.442022258,-0.120422,-0.320422,-0.002491736,-2.491735587,-0.1203,-1.0203,-0.015882648,-15.88264773
-0.121429,-0.121429,-0.005448872,-5.448872245,-0.121429,-0.321429,-0.00250351,-2.503510044,-0.121429,-1.021429,-0.016025387,-16.02538683
-0.122498,-0.122498,-0.005356353,-5.35635251,-0.122559,-0.322559,-0.002527078,-2.52707826,-0.122467,-1.022467,-0.016116209,-16.11620921
-0.123596,-0.123596,-0.00540775,-5.407749867,-0.123627,-0.323627,-0.002491736,-2.491735587,-0.123535,-1.023535,-0.016090272,-16.0902721
-0.124573,-0.124573,-0.005431747,-5.431747279,-0.124634,-0.324634,-0.002506463,-2.506463309,-0.124542,-1.024542,-0.016142189,-16.14218883
-0.125702,-0.125702,-0.005380339,-5.380338692,-0.125702,-0.325702,-0.002550637,-2.550636824,-0.125671,-1.025671,-0.016349771,-16.34977068
-0.12674,-0.12674,-0.005370052,-5.370052483,-0.126801,-0.326801,-0.00254475,-2.544749596,-0.12677,-1.02677,-0.016297896,-16.29789647
-0.127838,-0.127838,-0.005414611,-5.414611083,-0.127838,-0.327838,-0.002500566,-2.50056643,-0.127838,-1.027838,-0.016336802,-16.33680213
-0.128876,-0.128876,-0.005370052,-5.370052483,-0.128876,-0.328876,-0.002532965,-2.532965488,-0.128906,-1.028906,-0.01649251,-16.49250977
